Id	FCend	FCnorm	Dem_1	Dem_2	Dem_3	Dem_4	Dem_5	Dem_6	socF_1	socF_2	socF_3	socF_4	socF_5	socF_6
212	51.9158	0.0086	1	1	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
213	51.9158	0.0086	1	1	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
214	51.9158	0.0086	1	1	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
215	51.9158	0.0086	1	1	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
216	51.9158	0.0086	1	1	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
217	51.994	0.0092	0.4	0.8	0.8	0.2	0.4	0.6	0.7249	0.5897	0.4521	0.4205	0.3506	0.2005
218	51.994	0.0092	0.4	0.8	0.8	0.2	0.4	0.8	0.7249	0.5897	0.4521	0.4205	0.3506	0.2005
219	51.994	0.0092	0.4	0.8	0.8	0.2	0.4	1	0.7249	0.5897	0.4521	0.4205	0.3506	0.2005
220	51.994	0.0092	0.4	0.8	1	0.2	0.4	0.6	0.7249	0.5897	0.4521	0.4205	0.3506	0.2005
221	51.994	0.0092	0.4	0.8	1	0.2	0.4	0.8	0.7249	0.5897	0.4521	0.4205	0.3506	0.2005
